Rank,Country,GDP (millions USD)
World,"120,728,032","117,165,394"
United States,"31,821,293","30,615,743"
China[n 1],"20,650,754","19,398,577"
Germany,"5,328,184","5,013,574"
India,"4,519,737","4,125,213"
Japan,"4,463,634","4,279,828"
United Kingdom,"4,040,844","3,958,780"
France,"3,558,562","3,361,557"
Italy,"2,701,544","2,543,677"
Russia,"2,545,421","2,540,656"
Canada,"2,420,837","2,283,599"
Brazil,"2,292,690","2,256,910"
Spain,"2,041,830","1,891,371"
Mexico,"2,031,018","1,862,740"
Australia,"1,948,227","1,829,508"
South Korea,"1,936,617","1,858,572"
Turkey,"1,576,110","1,565,471"
Indonesia,"1,550,236","1,443,256"
Netherlands,"1,413,076","1,320,635"
Saudi Arabia,"1,316,250","1,268,535"
Poland,"1,109,962","1,039,619"
Switzerland,"1,074,588","1,002,666"
Taiwan[n 3],"971,448","884,387"
Belgium,"761,174","716,980"
Ireland,"750,112","708,771"
Sweden,"711,503","662,318"
Argentina,"685,544","683,371"
Israel,"666,407","610,752"
Singapore,"606,225","574,185"
Austria,"604,198","566,456"
United Arab Emirates,"601,163","569,097"
Thailand,"561,509","558,573"
Norway,"547,693","517,102"
Philippines,"533,922","494,158"
Vietnam,"511,059","484,726"
Malaysia,"505,364","470,572"
Denmark,"500,051","459,612"
Bangladesh,"490,326","475,011"
Colombia,"462,251","438,121"
Hong Kong[n 4],"446,646","428,233"
Romania,"444,807","422,508"
South Africa,"443,643","426,383"
Pakistan,"421,802","410,495"
Czech Republic,"417,134","383,384"
Egypt,"401,508","349,264"
Iran,"375,644","356,513"
Portugal,"364,527","337,936"
Chile,"363,301","347,174"
Finland,"335,534","314,724"
Nigeria,"334,341","285,003"
Peru,"326,608","318,480"
Kazakhstan,"319,770","300,052"
Greece,"304,838","282,019"
Algeria,"294,402","288,013"
New Zealand,"280,553","262,909"
Iraq,"273,912","265,455"
Hungary,"269,916","247,759"
Qatar,"239,142","222,119"
Ukraine[n 5],"224,259","209,713"
Cuba,"201,986",—N/a
Morocco,"144,438","179,612"
Kuwait,"163,705","157,469"
Slovakia,"132,908","154,587"
Uzbekistan,"90,889","137,480"
Kenya,"108,039","136,014"
Ecuador,"118,845","130,529"
Dominican Republic,"121,444","129,748"
Bulgaria,"102,397","127,924"
Puerto Rico,"117,902","126,546"
Guatemala,"104,451","120,850"
Angola,"90,552","115,167"
Ghana,"76,370","111,963"
Ethiopia,"159,746","109,492"
Oman,"105,896","105,190"
Croatia,"84,391","103,901"
Costa Rica,"86,498","102,637"
Luxembourg,"85,755","100,642"
